name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,csharp,1,12,747,0.047,15796,0,18%,0.043
binarytrees,csharp,1,16,747,0.718,30844,0,24%,0.706
binarytrees,csharp,1,20,747,40.233,272032,0,21%,44.532
binarytrees,csharp,1,20,747,37.222,361652,0,22%,40.099
binarytrees,csharp,1,20,747,40.451,274460,0,21%,44.774
binarytrees,csharp,1,20,747,36.145,398412,0,22%,38.896
binarytrees,csharp,1,20,747,38.657,410784,0,21%,42.171
binarytrees,csharp,1,20,747,37.269,392272,0,21%,40.295
binarytrees,csharp,2,12,745,0.047,14912,0,10%,0.07
binarytrees,csharp,2,16,745,0.905,29460,0,25%,0.906
binarytrees,csharp,2,20,745,30.701,322640,0,22%,32.852
binarytrees,csharp,2,20,745,30.233,308460,0,22%,32.717
binarytrees,csharp,2,20,745,30.061,303848,0,22%,32.238
binarytrees,csharp,2,20,745,30.186,333008,0,22%,32.369
binarytrees,csharp,2,20,745,30.124,322720,0,22%,32.398
binarytrees,csharp,2,20,745,30.124,264392,0,22%,32.552
binarytrees,gpp,2,12,653,0.203,7568,0,23%,0.226
binarytrees,gpp,2,16,653,4.462,19056,0,24%,4.48
binarytrees,gpp,2,20,653,92.852,203412,0,24%,92.881
binarytrees,gpp,2,20,653,92.774,203280,0,25%,92.815
binarytrees,gpp,2,20,653,92.743,203280,0,24%,92.76
binarytrees,gpp,2,20,653,92.727,203280,0,24%,92.772
binarytrees,gpp,2,20,653,92.743,203284,0,24%,92.792
binarytrees,gpp,2,20,653,92.68,203316,0,24%,92.688
binarytrees,java,2,12,704,0.156,151912,0,21%,0.14
binarytrees,java,2,16,704,0.421,384764,0,26%,0.397
binarytrees,java,2,20,704,9.173,566144,0,35%,6.513
binarytrees,java,2,20,704,9.032,558248,0,34%,6.481
binarytrees,java,2,20,704,8.908,551756,0,34%,6.455
binarytrees,java,2,20,704,9.017,557984,0,35%,6.431
binarytrees,java,2,20,704,8.908,545720,0,34%,6.425
binarytrees,java,2,20,704,8.954,549088,0,34%,6.449
binarytrees,csharp,3,12,847,0.094,17764,0,28%,0.071
binarytrees,csharp,3,16,847,1.607,144992,0,31%,1.193
binarytrees,csharp,3,20,847,47.253,2416232,0,28%,38.559
binarytrees,csharp,3,20,847,45.115,2413804,0,28%,37.567
binarytrees,csharp,3,20,847,45.271,2438980,0,28%,38.054
binarytrees,csharp,3,20,847,46.192,2232688,0,28%,38.151
binarytrees,csharp,3,20,847,45.864,2352960,0,29%,37.593
binarytrees,csharp,3,20,847,46.504,2443064,0,28%,38.606
binarytrees,java,3,12,688,0.078,151800,0,16%,0.131
binarytrees,java,3,16,688,0.421,384312,0,25%,0.395
binarytrees,java,3,20,688,8.798,575272,0,34%,6.386
binarytrees,java,3,20,688,8.861,557628,0,34%,6.405
binarytrees,java,3,20,688,9.001,573088,0,34%,6.465
binarytrees,java,3,20,688,9.079,574164,0,35%,6.404
binarytrees,java,3,20,688,8.986,558996,0,34%,6.421
binarytrees,java,3,20,688,8.783,554268,0,34%,6.404
binarytrees,csharp,4,12,1051,0.078,15352,0,36%,0.052
binarytrees,csharp,4,16,1051,2.262,34820,0,66%,0.832
binarytrees,csharp,4,20,1051,45.256,394528,0,41%,26.487
binarytrees,csharp,4,20,1051,45.334,416300,0,41%,26.566
binarytrees,csharp,4,20,1051,47.83,486120,0,44%,26.16
binarytrees,csharp,4,20,1051,45.677,338152,0,41%,26.607
binarytrees,csharp,4,20,1051,46.8,402756,0,42%,26.468
binarytrees,csharp,4,20,1051,45.318,467952,0,41%,26.38
